Distribution,Sample Size,Bin Count,CI_HDEM_AMISE_Lower Mean,CI_HDEM_AMISE_Lower CI Lower,CI_HDEM_AMISE_Lower CI Upper,CI_HDEM_AMISE_Mean Mean,CI_HDEM_AMISE_Mean CI Lower,CI_HDEM_AMISE_Mean CI Upper,CI_HDEM_AMISE_Upper Mean,CI_HDEM_AMISE_Upper CI Lower,CI_HDEM_AMISE_Upper CI Upper,CI_HDEM_IMSE_Lower Mean,CI_HDEM_IMSE_Lower CI Lower,CI_HDEM_IMSE_Lower CI Upper,CI_HDEM_IMSE_Mean Mean,CI_HDEM_IMSE_Mean CI Lower,CI_HDEM_IMSE_Mean CI Upper,CI_HDEM_IMSE_Upper Mean,CI_HDEM_IMSE_Upper CI Lower,CI_HDEM_IMSE_Upper CI Upper,CI_HDEM_MAE_Lower Mean,CI_HDEM_MAE_Lower CI Lower,CI_HDEM_MAE_Lower CI Upper,CI_HDEM_MAE_Mean Mean,CI_HDEM_MAE_Mean CI Lower,CI_HDEM_MAE_Mean CI Upper,CI_HDEM_MAE_Upper Mean,CI_HDEM_MAE_Upper CI Lower,CI_HDEM_MAE_Upper CI Upper,CI_HDEM_MIAE_Lower Mean,CI_HDEM_MIAE_Lower CI Lower,CI_HDEM_MIAE_Lower CI Upper,CI_HDEM_MIAE_Mean Mean,CI_HDEM_MIAE_Mean CI Lower,CI_HDEM_MIAE_Mean CI Upper,CI_HDEM_MIAE_Upper Mean,CI_HDEM_MIAE_Upper CI Lower,CI_HDEM_MIAE_Upper CI Upper,CI_HDEM_MISE_Lower Mean,CI_HDEM_MISE_Lower CI Lower,CI_HDEM_MISE_Lower CI Upper,CI_HDEM_MISE_Mean Mean,CI_HDEM_MISE_Mean CI Lower,CI_HDEM_MISE_Mean CI Upper,CI_HDEM_MISE_Upper Mean,CI_HDEM_MISE_Upper CI Lower,CI_HDEM_MISE_Upper CI Upper,CI_HDEM_MSE_Lower Mean,CI_HDEM_MSE_Lower CI Lower,CI_HDEM_MSE_Lower CI Upper,CI_HDEM_MSE_Mean Mean,CI_HDEM_MSE_Mean CI Lower,CI_HDEM_MSE_Mean CI Upper,CI_HDEM_MSE_Upper Mean,CI_HDEM_MSE_Upper CI Lower,CI_HDEM_MSE_Upper CI Upper,CI_HDEM_Normalized MAE_Lower Mean,CI_HDEM_Normalized MAE_Lower CI Lower,CI_HDEM_Normalized MAE_Lower CI Upper,CI_HDEM_Normalized MAE_Mean Mean,CI_HDEM_Normalized MAE_Mean CI Lower,CI_HDEM_Normalized MAE_Mean CI Upper,CI_HDEM_Normalized MAE_Upper Mean,CI_HDEM_Normalized MAE_Upper CI Lower,CI_HDEM_Normalized MAE_Upper CI Upper,CI_HDEM_Normalized MSE_Lower Mean,CI_HDEM_Normalized MSE_Lower CI Lower,CI_HDEM_Normalized MSE_Lower CI Upper,CI_HDEM_Normalized MSE_Mean Mean,CI_HDEM_Normalized MSE_Mean CI Lower,CI_HDEM_Normalized MSE_Mean CI Upper,CI_HDEM_Normalized MSE_Upper Mean,CI_HDEM_Normalized MSE_Upper CI Lower,CI_HDEM_Normalized MSE_Upper CI Upper,CI_Hist_AMISE_Lower Mean,CI_Hist_AMISE_Lower CI Lower,CI_Hist_AMISE_Lower CI Upper,CI_Hist_AMISE_Mean Mean,CI_Hist_AMISE_Mean CI Lower,CI_Hist_AMISE_Mean CI Upper,CI_Hist_AMISE_Upper Mean,CI_Hist_AMISE_Upper CI Lower,CI_Hist_AMISE_Upper CI Upper,CI_Hist_IMSE_Lower Mean,CI_Hist_IMSE_Lower CI Lower,CI_Hist_IMSE_Lower CI Upper,CI_Hist_IMSE_Mean Mean,CI_Hist_IMSE_Mean CI Lower,CI_Hist_IMSE_Mean CI Upper,CI_Hist_IMSE_Upper Mean,CI_Hist_IMSE_Upper CI Lower,CI_Hist_IMSE_Upper CI Upper,CI_Hist_MAE_Lower Mean,CI_Hist_MAE_Lower CI Lower,CI_Hist_MAE_Lower CI Upper,CI_Hist_MAE_Mean Mean,CI_Hist_MAE_Mean CI Lower,CI_Hist_MAE_Mean CI Upper,CI_Hist_MAE_Upper Mean,CI_Hist_MAE_Upper CI Lower,CI_Hist_MAE_Upper CI Upper,CI_Hist_MIAE_Lower Mean,CI_Hist_MIAE_Lower CI Lower,CI_Hist_MIAE_Lower CI Upper,CI_Hist_MIAE_Mean Mean,CI_Hist_MIAE_Mean CI Lower,CI_Hist_MIAE_Mean CI Upper,CI_Hist_MIAE_Upper Mean,CI_Hist_MIAE_Upper CI Lower,CI_Hist_MIAE_Upper CI Upper,CI_Hist_MISE_Lower Mean,CI_Hist_MISE_Lower CI Lower,CI_Hist_MISE_Lower CI Upper,CI_Hist_MISE_Mean Mean,CI_Hist_MISE_Mean CI Lower,CI_Hist_MISE_Mean CI Upper,CI_Hist_MISE_Upper Mean,CI_Hist_MISE_Upper CI Lower,CI_Hist_MISE_Upper CI Upper,CI_Hist_MSE_Lower Mean,CI_Hist_MSE_Lower CI Lower,CI_Hist_MSE_Lower CI Upper,CI_Hist_MSE_Mean Mean,CI_Hist_MSE_Mean CI Lower,CI_Hist_MSE_Mean CI Upper,CI_Hist_MSE_Upper Mean,CI_Hist_MSE_Upper CI Lower,CI_Hist_MSE_Upper CI Upper,CI_Hist_Normalized MAE_Lower Mean,CI_Hist_Normalized MAE_Lower CI Lower,CI_Hist_Normalized MAE_Lower CI Upper,CI_Hist_Normalized MAE_Mean Mean,CI_Hist_Normalized MAE_Mean CI Lower,CI_Hist_Normalized MAE_Mean CI Upper,CI_Hist_Normalized MAE_Upper Mean,CI_Hist_Normalized MAE_Upper CI Lower,CI_Hist_Normalized MAE_Upper CI Upper,CI_Hist_Normalized MSE_Lower Mean,CI_Hist_Normalized MSE_Lower CI Lower,CI_Hist_Normalized MSE_Lower CI Upper,CI_Hist_Normalized MSE_Mean Mean,CI_Hist_Normalized MSE_Mean CI Lower,CI_Hist_Normalized MSE_Mean CI Upper,CI_Hist_Normalized MSE_Upper Mean,CI_Hist_Normalized MSE_Upper CI Lower,CI_Hist_Normalized MSE_Upper CI Upper
binom,10000,15,9.513191869212872e-06,,,9.556931251167197e-06,,,9.60067063312152e-06,,,0.0009513191869212,,,0.0009556931251167,,,0.0009600670633121,,,0.0230996769526466,,,0.0231865580816847,,,0.0232734392107229,,,0.0153997846350977,,,0.0154577053877898,,,0.0155156261404819,,,0.0006342127912808,,,0.0006371287500778,,,0.0006400447088747,,,0.0009513191869212,,,0.0009556931251167,,,0.0009600670633121,,,2.3099676952646683e-06,,,2.31865580816848e-06,,,2.327343921072291e-06,,,9.513191869212873e-08,,,9.556931251167199e-08,,,9.600670633121525e-08,,,4.3837354110879767e-35,,,4.736244278293116e-35,,,5.088753145498254e-35,,,4.383735411087977e-33,,,4.736244278293116e-33,,,5.0887531454982535e-33,,,3.586784260936321e-17,,,3.719897653797766e-17,,,3.8530110466592113e-17,,,2.391189507290881e-17,,,2.4799317691985106e-17,,,2.568674031106141e-17,,,2.922490274058651e-33,,,3.1574961855287435e-33,,,3.392502096998836e-33,,,4.383735411087977e-33,,,4.736244278293116e-33,,,5.0887531454982535e-33,,,3.5867842609363205e-21,,,3.719897653797767e-21,,,3.853011046659212e-21,,,4.383735411087977e-37,,,4.736244278293116e-37,,,5.088753145498255e-37,,
binom,10000,20,1.5214402513858972e-05,,,1.5283938419776354e-05,,,1.5353474325693736e-05,,,0.0015214402513858,,,0.0015283938419776,,,0.0015353474325693,,,0.0298379220457977,,,0.0298631185229408,,,0.029888315000084,,,0.0149189610228988,,,0.0149315592614704,,,0.014944157500042,,,0.0007607201256929,,,0.0007641969209888,,,0.0007676737162846,,,0.0015214402513858,,,0.0015283938419776,,,0.0015353474325693,,,2.9837922045797714e-06,,,2.986311852294087e-06,,,2.988831500008403e-06,,,1.5214402513858978e-07,,,1.5283938419776358e-07,,,1.535347432569374e-07,,,2.5225683615919724e-38,,,7.330714848881892e-37,,,1.4409172861604587e-36,,,2.5225683615919697e-36,,,7.33071484888189e-35,,,1.4409172861604583e-34,,,2.0786229612982608e-19,,,2.851993814723119e-18,,,5.496125333316412e-18,,,1.0393114806491304e-19,,,1.4259969073615597e-18,,,2.748062666658206e-18,,,1.2612841807959849e-36,,,3.6653574244409457e-35,,,7.204586430802291e-35,,,2.5225683615919697e-36,,,7.33071484888189e-35,,,1.4409172861604583e-34,,,2.078622961298261e-23,,,2.8519938147231194e-22,,,5.496125333316412e-22,,,2.5225683615919662e-40,,,7.330714848881891e-39,,,1.4409172861604584e-38,,
binom,10000,25,1.2344081083806845e-05,,,1.239281331132632e-05,,,1.2441545538845795e-05,,,0.0012344081083806,,,0.0012392813311326,,,0.0012441545538845,,,0.0260330473397341,,,0.0260606692938529,,,0.0260882912479717,,,0.0104132189358936,,,0.0104242677175411,,,0.0104353164991886,,,0.0004937632433522,,,0.000495712532453,,,0.0004976618215538,,,0.0012344081083806,,,0.0012392813311326,,,0.0012441545538845,,,2.6033047339734173e-06,,,2.606066929385294e-06,,,2.6088291247971703e-06,,,1.2344081083806845e-07,,,1.239281331132632e-07,,,1.2441545538845797e-07,,,7.963236321987968e-35,,,8.474091002987451e-35,,,8.984945683986935e-35,,,7.963236321987969e-33,,,8.474091002987453e-33,,,8.984945683986936e-33,,,3.7632791749299924e-17,,,3.90807178285435e-17,,,4.052864390778708e-17,,,1.5053116699719968e-17,,,1.56322871314174e-17,,,1.6211457563114828e-17,,,3.185294528795189e-33,,,3.3896364011949816e-33,,,3.593978273594775e-33,,,7.963236321987969e-33,,,8.474091002987453e-33,,,8.984945683986936e-33,,,3.763279174929992e-21,,,3.9080717828543495e-21,,,4.052864390778707e-21,,,7.96323632198797e-37,,,8.474091002987453e-37,,,8.984945683986937e-37,,
binom,10000,30,1.056770987015033e-05,,,1.063548690867764e-05,,,1.0703263947204948e-05,,,0.001056770987015,,,0.0010635486908677,,,0.0010703263947204,,,0.0234466665415319,,,0.02346263835812,,,0.0234786101747082,,,0.0078155555138439,,,0.0078208794527066,,,0.0078262033915694,,,0.0003522569956716,,,0.0003545162302892,,,0.0003567754649068,,,0.001056770987015,,,0.0010635486908677,,,0.0010703263947204,,,2.344666654153191e-06,,,2.346263835812008e-06,,,2.3478610174708253e-06,,,1.0567709870150329e-07,,,1.0635486908677637e-07,,,1.0703263947204945e-07,,,5.579153456199003e-36,,,6.667455287784e-36,,,7.755757119368997e-36,,,5.579153456199003e-34,,,6.667455287784e-34,,,7.755757119368996e-34,,,7.980487223212281e-18,,,9.78131059944006e-18,,,1.158213397566784e-17,,,2.6601624077374267e-18,,,3.260436866480019e-18,,,3.860711325222612e-18,,,1.859717818733001e-34,,,2.2224850959280003e-34,,,2.585252373122999e-34,,,5.579153456199003e-34,,,6.667455287784e-34,,,7.755757119368996e-34,,,7.980487223212283e-22,,,9.78131059944006e-22,,,1.1582133975667838e-21,,,5.579153456199004e-38,,,6.667455287784001e-38,,,7.755757119368998e-38,,
binom,10000,50,8.512482837276021e-06,,,8.546748444502132e-06,,,8.581014051728242e-06,,,0.0008512482837276,,,0.0008546748444502,,,0.0008581014051728,,,0.0176217226606452,,,0.0176311967091612,,,0.0176406707576772,,,0.003524344532129,,,0.0035262393418322,,,0.0035281341515354,,,0.0001702496567455,,,0.00017093496889,,,0.0001716202810345,,,0.0008512482837276,,,0.0008546748444502,,,0.0008581014051728,,,1.7621722660645234e-06,,,1.7631196709161232e-06,,,1.764067075767723e-06,,,8.512482837276022e-08,,,8.546748444502133e-08,,,8.581014051728244e-08,,,8.290011904579378e-36,,,9.219488533559268e-36,,,1.014896516253916e-35,,,8.29001190457938e-34,,,9.21948853355927e-34,,,1.014896516253916e-33,,,7.679524874814148e-18,,,8.668087948804359e-18,,,9.656651022794573e-18,,,1.53590497496283e-18,,,1.7336175897608721e-18,,,1.9313302045589145e-18,,,1.6580023809158758e-34,,,1.8438977067118542e-34,,,2.029793032507832e-34,,,8.29001190457938e-34,,,9.21948853355927e-34,,,1.014896516253916e-33,,,7.6795248748141475e-22,,,8.668087948804359e-22,,,9.656651022794569e-22,,,8.290011904579378e-38,,,9.219488533559268e-38,,,1.014896516253916e-37,,
binom,10000,100,5.479133988327515e-06,,,5.514539393755925e-06,,,5.549944799184334e-06,,,0.0005479133988327,,,0.0005514539393755,,,0.0005549944799184,,,0.0104793992458306,,,0.0104814162028751,,,0.0104834331599195,,,0.001047939924583,,,0.0010481416202875,,,0.0010483433159919,,,5.4791339883275154e-05,,,5.514539393755925e-05,,,5.549944799184335e-05,,,0.0005479133988327,,,0.0005514539393755,,,0.0005549944799184,,,1.047939924583064e-06,,,1.0481416202875105e-06,,,1.0483433159919566e-06,,,5.479133988327517e-08,,,5.514539393755925e-08,,,5.5499447991843354e-08,,,5.17397926566156e-35,,,5.344846130162753e-35,,,5.515712994663944e-35,,,5.1739792656615595e-33,,,5.344846130162753e-33,,,5.515712994663945e-33,,,1.9159220248768838e-17,,,1.9430312393764476e-17,,,1.9701404538760108e-17,,,1.9159220248768827e-18,,,1.9430312393764465e-18,,,1.9701404538760103e-18,,,5.1739792656615625e-34,,,5.344846130162755e-34,,,5.515712994663946e-34,,,5.1739792656615595e-33,,,5.344846130162753e-33,,,5.515712994663945e-33,,,1.915922024876884e-21,,,1.9430312393764468e-21,,,1.970140453876011e-21,,,5.17397926566156e-37,,,5.344846130162753e-37,,,5.515712994663945e-37,,
binom,50000,10,1.1961726462938194e-07,,,1.287968781244115e-07,,,1.379764916194411e-07,,,2.674723349938792e-05,,,2.879985747759397e-05,,,3.085248145580003e-05,,,0.0034670768527576,,,0.0035843830997585,,,0.0037016893467593,,,0.0034670768527576,,,0.0035843830997585,,,0.0037016893467593,,,2.674723349938792e-05,,,2.879985747759397e-05,,,3.085248145580003e-05,,,2.674723349938792e-05,,,2.879985747759397e-05,,,3.085248145580003e-05,,,6.934153705515333e-08,,,7.168766199517058e-08,,,7.403378693518784e-08,,,5.349446699877583e-10,,,5.759971495518792e-10,,,6.170496291160003e-10,,,-1.5796967274219515e-37,,,1.2515848058029237e-37,,,4.082866339027799e-37,,,-3.53230926634944e-35,,,2.79862870538121e-35,,,9.12956667711186e-35,,,-1.621593742366379e-18,,,1.284779574395323e-18,,,4.191152891157024e-18,,,-1.621593742366379e-18,,,1.284779574395323e-18,,,4.191152891157024e-18,,,-3.53230926634944e-35,,,2.79862870538121e-35,,,9.12956667711186e-35,,,-3.53230926634944e-35,,,2.79862870538121e-35,,,9.12956667711186e-35,,,-3.243187484732757e-23,,,2.5695591487906457e-23,,,8.38230578231405e-23,,,-7.064618532698883e-40,,,5.5972574107624195e-40,,,1.825913335422373e-39,,
binom,50000,15,4.236910747928934e-06,,,4.249265542638676e-06,,,4.261620337348419e-06,,,0.0009474020446968,,,0.0009501646607787,,,0.0009529272768606,,,0.0231650132278692,,,0.0232151914381306,,,0.0232653696483919,,,0.0154433421519128,,,0.015476794292087,,,0.0155102464322613,,,0.0006316013631312,,,0.0006334431071858,,,0.0006352848512404,,,0.0009474020446968,,,0.0009501646607787,,,0.0009529272768606,,,4.63300264557386e-07,,,4.643038287626127e-07,,,4.653073929678394e-07,,,1.8948040893937137e-08,,,1.9003293215575218e-08,,,1.90585455372133e-08,,,1.86182538762102e-35,,,2.0773861532698705e-35,,,2.2929469189187204e-35,,,4.163168128955496e-33,,,4.645176654228227e-33,,,5.127185179500958e-33,,,3.4660719171878275e-17,,,3.668289630387456e-17,,,3.870507343587085e-17,,,2.3107146114585515e-17,,,2.445526420258304e-17,,,2.5803382290580565e-17,,,2.7754454193036638e-33,,,3.0967844361521505e-33,,,3.4181234530006366e-33,,,4.163168128955496e-33,,,4.645176654228227e-33,,,5.127185179500958e-33,,,6.932143834375653e-22,,,7.336579260774909e-22,,,7.7410146871741685e-22,,,8.326336257910992e-38,,,9.290353308456454e-38,,,1.0254370359001915e-37,,
binom,50000,20,6.833248424038669e-06,,,6.847613747961198e-06,,,6.861979071883727e-06,,,0.0015279607983293,,,0.0015311729824103,,,0.0015343851664912,,,0.0298519855296879,,,0.0298656295388613,,,0.0298792735480346,,,0.0149259927648439,,,0.0149328147694306,,,0.0149396367740173,,,0.0007639803991646,,,0.0007655864912051,,,0.0007671925832456,,,0.0015279607983293,,,0.0015311729824103,,,0.0015343851664912,,,5.970397105937584e-07,,,5.97312590777226e-07,,,5.975854709606937e-07,,,3.055921596658754e-08,,,3.06234596482067e-08,,,3.068770332982586e-08,,,-2.471573833417268e-37,,,3.0603480348729e-37,,,8.592269903163066e-37,,,-5.526607102930753e-35,,,6.843146240783701e-35,,,1.921289958449816e-34,,,-1.0899232861989517e-18,,,1.8426015921391145e-18,,,4.775126470477181e-18,,,-5.449616430994759e-19,,,9.213007960695573e-19,,,2.3875632352385907e-18,,,-2.7633035514653766e-35,,,3.4215731203918505e-35,,,9.60644979224908e-35,,,-5.526607102930753e-35,,,6.843146240783701e-35,,,1.921289958449816e-34,,,-2.1798465723979036e-23,,,3.6852031842782304e-23,,,9.550252940954362e-23,,,-1.1053214205861506e-39,,,1.3686292481567404e-39,,,3.842579916899631e-39,,
binom,50000,25,5.507725532930903e-06,,,5.522390811287252e-06,,,5.537056089643601e-06,,,0.0012315648693044,,,0.0012348441252358,,,0.0012381233811672,,,0.026038843910704,,,0.0260455076023431,,,0.0260521712939822,,,0.0104155375642816,,,0.0104182030409372,,,0.0104208685175928,,,0.0004926259477217,,,0.0004939376500943,,,0.0004952493524668,,,0.0012315648693044,,,0.0012348441252358,,,0.0012381233811672,,,5.207768782140808e-07,,,5.209101520468627e-07,,,5.210434258796445e-07,,,2.463129738608951e-08,,,2.4696882504717017e-08,,,2.4762467623344523e-08,,,3.410677966932538e-35,,,3.5556795243615305e-35,,,3.700681081790525e-35,,,7.626507783421934e-33,,,7.950741122676503e-33,,,8.274974461931071e-33,,,3.776206257394352e-17,,,3.830052594522293e-17,,,3.8838989316502337e-17,,,1.5104825029577408e-17,,,1.5320210378089172e-17,,,1.5535595726600937e-17,,,3.0506031133687738e-33,,,3.180296449070601e-33,,,3.3099897847724284e-33,,,7.626507783421934e-33,,,7.950741122676503e-33,,,8.274974461931071e-33,,,7.552412514788703e-22,,,7.660105189044586e-22,,,7.767797863300469e-22,,,1.5253015566843867e-37,,,1.5901482245353004e-37,,,1.6549948923862141e-37,,
binom,50000,30,4.7285287004753626e-06,,,4.741593682490996e-06,,,4.7546586645066286e-06,,,0.0010573311607821,,,0.0010602525795733,,,0.0010631739983645,,,0.0234552786731612,,,0.0234632962581595,,,0.0234713138431577,,,0.007818426224387,,,0.0078210987527198,,,0.0078237712810525,,,0.0003524437202607,,,0.0003534175265244,,,0.0003543913327881,,,0.0010573311607821,,,0.0010602525795733,,,0.0010631739983645,,,4.691055734632254e-07,,,4.692659251631902e-07,,,4.69426276863155e-07,,,2.1146623215643305e-08,,,2.120505159146684e-08,,,2.1263479967290378e-08,,,2.3035556139128505e-36,,,2.4858117957751545e-36,,,2.6680679776374584e-36,,,5.150906942660395e-34,,,5.558444154624071e-34,,,5.965981366587747e-34,,,7.182778617956825e-18,,,8.01659086335782e-18,,,8.850403108758814e-18,,,2.3942595393189416e-18,,,2.6721969544526064e-18,,,2.950134369586271e-18,,,1.7169689808867979e-34,,,1.8528147182080235e-34,,,1.9886604555292487e-34,,,5.150906942660395e-34,,,5.558444154624071e-34,,,5.965981366587747e-34,,,1.436555723591365e-22,,,1.6033181726715641e-22,,,1.7700806217517628e-22,,,1.0301813885320785e-38,,,1.1116888309248137e-38,,,1.193196273317549e-38,,
binom,50000,50,3.813395403255293e-06,,,3.820201496502268e-06,,,3.827007589749242e-06,,,0.0008527011346764,,,0.0008542230233925,,,0.0008557449121086,,,0.0176185426419813,,,0.0176226584793206,,,0.01762677431666,,,0.0035237085283962,,,0.0035245316958641,,,0.0035253548633319,,,0.0001705402269352,,,0.0001708446046785,,,0.0001711489824217,,,0.0008527011346764,,,0.0008542230233925,,,0.0008557449121086,,,3.523708528396268e-07,,,3.5245316958641337e-07,,,3.525354863332e-07,,,1.7054022693528113e-08,,,1.7084460467850992e-08,,,1.7114898242173865e-08,,,3.578004318116523e-36,,,3.8790010238772506e-36,,,4.179997729637978e-36,,,8.000660879096325e-34,,,8.673709974180815e-34,,,9.346759069265305e-34,,,7.284724866518978e-18,,,8.018325586833795e-18,,,8.751926307148614e-18,,,1.4569449733037961e-18,,,1.6036651173667593e-18,,,1.750385261429723e-18,,,1.6001321758192652e-34,,,1.734741994836163e-34,,,1.8693518138530612e-34,,,8.000660879096325e-34,,,8.673709974180815e-34,,,9.346759069265305e-34,,,1.456944973303796e-22,,,1.6036651173667593e-22,,,1.750385261429723e-22,,,1.600132175819265e-38,,,1.7347419948361631e-38,,,1.869351813853061e-38,,
binom,50000,100,2.46222842760729e-06,,,2.4690967732614806e-06,,,2.4759651189156714e-06,,,0.0005505710140262,,,0.0005521068228038,,,0.0005536426315813,,,0.0104810993286731,,,0.0104822380414653,,,0.0104833767542574,,,0.0010481099328673,,,0.0010482238041465,,,0.0010483376754257,,,5.505710140262318e-05,,,5.5210682280380544e-05,,,5.536426315813791e-05,,,0.0005505710140262,,,0.0005521068228038,,,0.0005536426315813,,,2.096219865734639e-07,,,2.0964476082930677e-07,,,2.096675350851496e-07,,,1.1011420280524638e-08,,,1.1042136456076112e-08,,,1.1072852631627582e-08,,,2.3209564374316858e-35,,,2.419673789691366e-35,,,2.518391141951046e-35,,,5.189816366912988e-33,,,5.4105550771244244e-33,,,5.631293787335861e-33,,,1.9237616484999676e-17,,,1.9588497490730105e-17,,,1.9939378496460538e-17,,,1.923761648499967e-18,,,1.9588497490730098e-18,,,1.9939378496460533e-18,,,5.189816366912988e-34,,,5.4105550771244254e-34,,,5.631293787335861e-34,,,5.189816366912988e-33,,,5.4105550771244244e-33,,,5.631293787335861e-33,,,3.8475232969999353e-22,,,3.9176994981460215e-22,,,3.987875699292108e-22,,,1.0379632733825976e-37,,,1.0821110154248848e-37,,,1.126258757467172e-37,,
binom,100000,10,8.826082803193728e-08,,,9.058534918609415e-08,,,9.290987034025101e-08,,,2.7910524475335837e-05,,,2.8645602606973745e-05,,,2.9380680738611656e-05,,,0.0034983421781715,,,0.0035738482237954,,,0.0036493542694193,,,0.0034983421781715,,,0.0035738482237954,,,0.0036493542694193,,,2.7910524475335837e-05,,,2.8645602606973745e-05,,,2.9380680738611656e-05,,,2.7910524475335837e-05,,,2.8645602606973745e-05,,,2.9380680738611656e-05,,,3.498342178171582e-08,,,3.5738482237954465e-08,,,3.649354269419311e-08,,,2.7910524475335826e-10,,,2.8645602606973735e-10,,,2.9380680738611645e-10,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
binom,100000,15,3.0079096302237637e-06,,,3.012167667000811e-06,,,3.0164257037778585e-06,,,0.0009511845427461,,,0.0009525310522038,,,0.0009538775616614,,,0.0231703632314576,,,0.0231934426027327,,,0.0232165219740079,,,0.0154469088209717,,,0.0154622950684885,,,0.0154776813160053,,,0.0006341230284974,,,0.0006350207014692,,,0.0006359183744409,,,0.0009511845427461,,,0.0009525310522038,,,0.0009538775616614,,,2.3170363231457643e-07,,,2.31934426027328e-07,,,2.3216521974007957e-07,,,9.511845427461941e-09,,,9.525310522038172e-09,,,9.538775616614404e-09,,,1.2521913142015355e-35,,,1.3926721147549897e-35,,,1.533152915308444e-35,,,3.9597766191564015e-33,,,4.404015916429159e-33,,,4.848255213701917e-33,,,3.44571999263637e-17,,,3.587841829189031e-17,,,3.729963665741692e-17,,,2.2971466617575804e-17,,,2.3918945527926876e-17,,,2.4866424438277945e-17,,,2.6398510794376004e-33,,,2.9360106109527717e-33,,,3.232170142467944e-33,,,3.9597766191564015e-33,,,4.404015916429159e-33,,,4.848255213701917e-33,,,3.4457199926363702e-22,,,3.5878418291890313e-22,,,3.7299636657416913e-22,,,3.9597766191564005e-38,,,4.404015916429159e-38,,,4.848255213701916e-38,,
binom,100000,20,4.8276571724210936e-06,,,4.833747965897675e-06,,,4.839838759374256e-06,,,0.0015266392427298,,,0.0015285653207442,,,0.0015304913987586,,,0.0298494501581292,,,0.0298581487947569,,,0.0298668474313845,,,0.0149247250790646,,,0.0149290743973784,,,0.0149334237156922,,,0.0007633196213649,,,0.0007642826603721,,,0.0007652456993793,,,0.0015266392427298,,,0.0015285653207442,,,0.0015304913987586,,,2.984945015812926e-07,,,2.98581487947569e-07,,,2.986684743138454e-07,,,1.526639242729887e-08,,,1.528565320744256e-08,,,1.5304913987586252e-08,,,-4.4968236596968707e-38,,,8.850189723713964e-38,,,2.21972031071248e-37,,,-1.4220205000776033e-35,,,2.7986757251552426e-35,,,7.019371950388091e-35,,,-6.539044133813032e-19,,,1.286947978740294e-18,,,3.2278003708618913e-18,,,-3.269522066906516e-19,,,6.434739893701469e-19,,,1.6139001854309457e-18,,,-7.110102500388016e-36,,,1.3993378625776216e-35,,,3.509685975194045e-35,,,-1.4220205000776033e-35,,,2.7986757251552426e-35,,,7.019371950388091e-35,,,-6.5390441338130375e-24,,,1.286947978740294e-23,,,3.227800370861892e-23,,,-1.422020500077604e-40,,,2.7986757251552428e-40,,,7.019371950388089e-40,,
binom,100000,25,3.902495653233131e-06,,,3.906631348002208e-06,,,3.910767042771285e-06,,,0.0012340774823123,,,0.00123538530383,,,0.0012366931253478,,,0.0260406368676794,,,0.0260458758464141,,,0.0260511148251488,,,0.0104162547470717,,,0.0104183503385656,,,0.0104204459300595,,,0.0004936309929249,,,0.000494154121532,,,0.0004946772501391,,,0.0012340774823123,,,0.00123538530383,,,0.0012366931253478,,,2.604063686767947e-07,,,2.604587584641416e-07,,,2.605111482514884e-07,,,1.2340774823123337e-08,,,1.2353853038300865e-08,,,1.2366931253478392e-08,,,2.3755893369048776e-35,,,2.4766020461498715e-35,,,2.5776147553948654e-35,,,7.512273089828508e-33,,,7.831703323667035e-33,,,8.151133557505563e-33,,,3.778233442113099e-17,,,3.851042748581613e-17,,,3.9238520550501263e-17,,,1.5112933768452393e-17,,,1.5404170994326448e-17,,,1.5695408220200503e-17,,,3.0049092359314037e-33,,,3.1326813294668144e-33,,,3.260453423002225e-33,,,7.512273089828508e-33,,,7.831703323667035e-33,,,8.151133557505563e-33,,,3.7782334421130987e-22,,,3.851042748581612e-22,,,3.9238520550501256e-22,,,7.512273089828511e-38,,,7.83170332366704e-38,,,8.151133557505566e-38,,
