Distribution,Sample Size,Bin Count,HDEM_MSE,HDEM_MAE,HDEM_Normalized MSE,HDEM_Normalized MAE,HDEM_IMSE,HDEM_MISE,HDEM_MIAE,HDEM_AMISE,Hist_MSE,Hist_MAE,Hist_Normalized MSE,Hist_Normalized MAE,Hist_IMSE,Hist_MISE,Hist_MIAE,Hist_AMISE
gamma,500,15,4.312255789642406e-06,0.0012212386240779772,8.624511579284811e-09,2.4424772481559544e-06,4.312255789642406e-06,2.1854642354443205e-06,0.0006189274166611937,1.9284994164014905e-07,5.390346895130682e-34,1.6595521253511454e-17,1.0780693790261364e-36,3.3191042507022907e-20,5.390346895130682e-34,2.7318440581010463e-34,8.410660206015513e-18,2.4106364159634267e-35
gamma,500,20,2.7418845676411278e-05,0.0023942797564529975,5.4837691352822556e-08,4.788559512905995e-06,2.7418845676411278e-05,1.0421965241526134e-05,0.0009100711494105754,1.2262080559406363e-06,1.2415383254288868e-33,2.2616457318047622e-17,2.4830766508577737e-36,4.5232914636095247e-20,1.2415383254288868e-33,4.719115248813779e-34,8.596566567276524e-18,5.552328184660494e-35
gamma,500,25,2.6871361709520236e-05,0.0024067043783636798,5.3742723419040475e-08,4.813408756727359e-06,2.6871361709520236e-05,8.171092278185239e-06,0.0007318350210348599,1.2017238286094441e-06,1.4381280006604062e-34,7.91033905045424e-18,2.8762560013208125e-37,1.582067810090848e-20,1.4381280006604062e-34,4.3730856397481865e-35,2.4053902080479203e-18,6.431503939645062e-36
gamma,500,30,1.9915228015614323e-05,0.0024179071266093284,3.983045603122864e-08,4.835814253218657e-06,1.9915228015614323e-05,5.046548800906486e-06,0.0006127013108223837,8.906360726064373e-07,6.208741735431169e-34,1.5959455978986624e-17,1.2417483470862337e-36,3.191891195797325e-20,6.208741735431169e-34,1.5733045152941325e-34,4.0441502035893404e-18,2.7766337150328214e-35
gamma,500,50,1.059320583799203e-05,0.002244986815401686,2.118641167598406e-08,4.489973630803371e-06,1.059320583799203e-05,1.6106005970173235e-06,0.00034132982597337647,4.73742567067956e-07,6.078603539514534e-34,1.5048726154098803e-17,1.215720707902907e-36,3.0097452308197605e-20,6.078603539514534e-34,9.241963801611056e-35,2.288021935835056e-18,2.7184341445250655e-35
gamma,500,100,4.6423801593843365e-06,0.0015877988257280199,9.284760318768673e-09,3.1755976514560398e-06,4.6423801593843365e-06,3.5291583920090606e-07,0.00012070518480294624,2.0761355227559367e-07,8.104854873778347e-34,1.680947048221526e-17,1.6209709747556692e-36,3.361894096443052e-20,8.104854873778347e-34,6.161347328695224e-35,1.2778635480254577e-18,3.624601289107772e-35
gamma,1000,10,5.582751478471707e-07,0.0003999999999999968,5.582751478471707e-10,3.999999999999968e-07,5.582751478471707e-07,6.470282250829287e-07,0.00046359092112769403,1.765421028264307e-08,1.881524469790573e-33,2.5717275531356164e-17,1.881524469790573e-36,2.5717275531356165e-20,1.881524469790573e-33,2.180644155186287e-33,2.9805738631190516e-17,5.949902797878884e-35
gamma,1000,15,6.813355744223221e-07,0.00046108676773506783,6.813355744223221e-10,4.610867677350678e-07,6.813355744223221e-07,5.264349775725223e-07,0.00035625939895682156,2.1545722660736995e-08,1.1415774204865618e-33,1.656660919557851e-17,1.1415774204865617e-36,1.656660919557851e-20,1.1415774204865618e-33,8.82041546503244e-34,1.2800216028234714e-17,3.6099847741572987e-35
gamma,1000,20,7.228857198509897e-06,0.001405447610925248,7.2288571985098975e-09,1.405447610925248e-06,7.228857198509897e-06,4.1890407091972395e-06,0.0008144409406819473,2.2859653627395224e-07,1.0719309475261424e-33,2.0068582212706686e-17,1.0719309475261424e-36,2.0068582212706686e-20,1.0719309475261424e-33,6.211718191861627e-34,1.1629515642144528e-17,3.3897432886050433e-35
gamma,1000,25,1.874200701359384e-05,0.0018505405291155757,1.874200701359384e-08,1.8505405291155758e-06,1.874200701359384e-05,8.68862429521374e-06,0.0008578937884768269,5.926743008580688e-07,5.271029516544816e-34,1.0755285551056204e-17,5.2710295165448164e-37,1.0755285551056204e-20,5.271029516544816e-34,2.4436014288662944e-34,4.986052735605564e-18,1.6668458886257805e-35
gamma,1000,30,1.5873959972101362e-05,0.0016393491398559957,1.5873959972101363e-08,1.6393491398559958e-06,1.5873959972101362e-05,6.132519771175561e-06,0.0006333228148297834,5.019786899818321e-07,5.8298093765000965e-34,1.3725999503666486e-17,5.829809376500096e-37,1.3725999503666485e-20,5.8298093765000965e-34,2.252205582375474e-34,5.302707294419223e-18,1.8435475954346403e-35
gamma,1000,50,3.81942259032024e-06,0.0010232132372341618,3.81942259032024e-09,1.0232132372341619e-06,3.81942259032024e-06,8.853248184112486e-07,0.0002371761835797193,1.2078074732112137e-07,3.6514898237107077e-34,1.0993810029003016e-17,3.651489823710708e-37,1.0993810029003015e-20,3.6514898237107077e-34,8.463987654312308e-35,2.5483152590242148e-18,1.1547024695852545e-35
gamma,1000,100,2.754749436336726e-06,0.0008748366620683838,2.754749436336726e-09,8.748366620683838e-07,2.754749436336726e-06,3.1926920716683723e-07,0.00010139158350114061,8.711282601889063e-08,4.5550453114137675e-34,1.1156440354875841e-17,4.555045311413767e-37,1.1156440354875841e-20,4.5550453114137675e-34,5.279194129241773e-35,1.2930061151557775e-18,1.4404318029338475e-35
gamma,5000,10,4.347538674848987e-08,0.00013699658531433366,8.695077349697974e-12,2.7399317062866734e-08,4.347538674848987e-08,5.8289499168020046e-08,0.00018367777593097126,6.14834815691299e-10,7.1060991842748615e-34,1.5967587495280267e-17,1.4212198368549723e-37,3.1935174990560535e-21,7.1060991842748615e-34,9.527481949405434e-34,2.1408496798565133e-17,1.0049541841969897e-35
gamma,5000,15,7.561426052694911e-09,3.588956559195973e-05,1.5122852105389822e-12,7.177913118391946e-09,7.561426052694911e-09,6.758640088431412e-09,3.207922091359434e-05,1.06934712746024e-10,3.084256200215764e-34,9.262700560267827e-18,6.168512400431527e-38,1.8525401120535652e-21,3.084256200215764e-34,2.756805059323705e-34,8.279292675414088e-18,4.3617969481784413e-36
gamma,5000,20,7.68997436088908e-06,0.001199051122773338,1.537994872177816e-09,2.398102245546676e-07,7.68997436088908e-06,5.155155452719571e-06,0.0008038121641981449,1.087526603547071e-07,9.673291419078395e-34,1.8656408883044316e-17,1.934658283815679e-37,3.731281776608864e-21,9.673291419078395e-34,6.484718760368142e-34,1.2506763152650127e-17,1.368009991764795e-35
gamma,5000,25,1.4116596195718418e-05,0.0014863810224860577,2.8233192391436837e-09,2.9727620449721154e-07,1.4116596195718418e-05,7.570714224725655e-06,0.0007971444244973515,1.9963881794529425e-07,5.054976887473145e-34,1.1120661683183818e-17,1.010995377494629e-37,2.2241323366367635e-21,5.054976887473145e-34,2.7109782625403446e-34,5.963998008158413e-18,7.148816871747056e-36
gamma,5000,30,1.4443762893019308e-05,0.001400118256731912,2.8887525786038617e-09,2.800236513463824e-07,1.4443762893019308e-05,6.4551444553085515e-06,0.0006257348357668859,2.0426565375009156e-07,4.064395144874896e-34,9.43075189700308e-18,8.128790289749792e-38,1.886150379400616e-21,4.064395144874896e-34,1.8164420156953838e-34,4.2147511190973586e-18,5.747922736725438e-36
gamma,5000,50,1.0957213817246378e-05,0.0009712690903330803,2.1914427634492757e-09,1.9425381806661606e-07,1.0957213817246378e-05,2.9381705532792556e-06,0.00026044524530818673,1.54958403861717e-07,3.259087034203181e-34,1.0322146783148245e-17,6.518174068406362e-38,2.064429356629649e-21,3.259087034203181e-34,8.739223049018187e-35,2.767877695070302e-18,4.609045084724446e-36
gamma,5000,100,3.2937347572222497e-06,0.0005856411814870801,6.5874695144445e-10,1.1712823629741602e-07,3.2937347572222497e-06,4.416065359037982e-07,7.851967219644155e-05,4.658044364523359e-08,3.2216585593890302e-34,1.0549829239370202e-17,6.44331711877806e-38,2.1099658478740405e-21,3.2216585593890302e-34,4.3194294050454754e-35,1.4144653070679889e-18,4.556113228023334e-36
gamma,10000,10,4.597677523956846e-08,0.00010854573144299067,4.597677523956846e-12,1.0854573144299067e-08,4.597677523956846e-08,4.9429785868442976e-08,0.00011669788135865152,4.597677523956846e-10,1.7155035251521873e-33,2.4166866424701894e-17,1.7155035251521873e-37,2.4166866424701895e-21,1.7155035251521873e-33,1.8443436161624024e-33,2.5981879465444018e-17,1.7155035251521872e-35
gamma,10000,15,7.685989977099813e-09,5.814948155896943e-05,7.685989977099813e-13,5.814948155896944e-09,7.685989977099813e-09,5.5088224692493485e-09,4.1677802279430614e-05,7.685989977099812e-11,1.7538736199202783e-33,2.467644144577008e-17,1.7538736199202784e-37,2.467644144577008e-21,1.7538736199202783e-33,1.2570636228290063e-33,1.7686483524256197e-17,1.7538736199202783e-35
gamma,10000,20,1.4806834525106063e-05,0.0016215159241310018,1.4806834525106062e-09,1.6215159241310018e-07,1.4806834525106063e-05,7.959438827014294e-06,0.0008716486149194546,1.4806834525106063e-07,8.699560847176665e-34,1.7659620510715456e-17,8.699560847176665e-38,1.7659620510715457e-21,8.699560847176665e-34,4.6764635795438735e-34,9.492958736385943e-18,8.699560847176664e-36
gamma,10000,25,1.663346606936468e-05,0.001573246518671623,1.663346606936468e-09,1.573246518671623e-07,1.663346606936468e-05,7.1530781510845705e-06,0.0006765610518006535,1.663346606936468e-07,7.099499224305376e-34,1.6328084717631696e-17,7.099499224305376e-38,1.6328084717631695e-21,7.099499224305376e-34,3.0530782083087704e-34,7.021751543285544e-18,7.099499224305377e-36
gamma,10000,30,1.5035905089074335e-05,0.0013709526688741322,1.5035905089074336e-09,1.3709526688741321e-07,1.5035905089074335e-05,5.388384062884764e-06,0.0004913052768136016,1.5035905089074334e-07,5.20543961336542e-34,9.986857261307102e-18,5.20543961336542e-38,9.986857261307102e-22,5.20543961336542e-34,1.8654618851876544e-34,3.578967956124888e-18,5.2054396133654204e-36
gamma,10000,50,7.521544683660589e-06,0.0007995033184350299,7.521544683660589e-10,7.995033184350298e-08,7.521544683660589e-06,1.617287603038765e-06,0.00017190974193136577,7.521544683660588e-08,6.481323863344419e-34,1.261577647904133e-17,6.481323863344418e-38,1.261577647904133e-21,6.481323863344419e-34,1.3936186217489542e-34,2.7126527542387316e-18,6.481323863344418e-36
gamma,10000,100,2.1485226464871338e-06,0.0004972261198494529,2.1485226464871337e-10,4.972261198494529e-08,2.1485226464871338e-06,2.309883931528127e-07,5.345694756600313e-05,2.1485226464871338e-08,4.4294620520263395e-34,1.1552851774190854e-17,4.4294620520263396e-38,1.1552851774190853e-21,4.4294620520263395e-34,4.7621295665735573e-35,1.242050984203553e-18,4.42946205202634e-36
gamma,50000,10,6.558212492981217e-09,5.711863897673337e-05,1.3116424985962433e-13,1.1423727795346675e-09,6.558212492981217e-09,9.131601768880698e-09,7.953152864049632e-05,2.9329217890388725e-11,1.6739146819568887e-33,2.3109769306528528e-17,3.3478293639137773e-38,4.621953861305706e-22,1.6739146819568887e-33,2.3307451972731732e-33,3.217785494199374e-17,7.485974034781088e-36
gamma,50000,15,9.14523604652278e-10,1.9833080589138405e-05,1.829047209304556e-14,3.966616117827681e-10,9.14523604652278e-10,8.489168224688702e-10,1.841028013694853e-05,4.089873894061273e-12,3.7209741641638438e-34,9.662048360466653e-18,7.441948328327687e-39,1.9324096720933306e-22,3.7209741641638438e-34,3.4540361209503986e-34,8.968905068149218e-18,1.6640702347181635e-36
gamma,50000,20,8.852129640892405e-06,0.0012234415859334721,1.770425928178481e-10,2.4468831718669443e-08,8.852129640892405e-06,6.1628166801278e-06,0.0008517550599487946,3.958792724535244e-08,5.530426407101691e-34,1.2760212537207133e-17,1.1060852814203381e-38,2.5520425074414266e-22,5.530426407101691e-34,3.8502603884673305e-34,8.883608109737108e-18,2.4732818781678614e-36
gamma,50000,25,2.4856968681321822e-05,0.0018610892866507114,4.971393736264364e-10,3.722178573301423e-08,2.4856968681321822e-05,1.3844256459960393e-05,0.0010365462381838211,1.111637433720378e-07,1.5217477831295083e-34,4.7417582013653536e-18,3.0434955662590164e-39,9.483516402730707e-23,1.5217477831295083e-34,8.475476976744855e-35,2.6409542310825166e-18,6.805462975374377e-37
gamma,50000,30,2.1028663244724447e-05,0.0015877293281147337,4.205732648944889e-10,3.175458656229467e-08,2.1028663244724447e-05,9.76004659238236e-06,0.0007369138037045398,9.404304098231032e-08,4.664832455263471e-34,9.808415653752197e-18,9.329664910526942e-39,1.9616831307504394e-22,4.664832455263471e-34,2.165091598033505e-34,4.5523860772315276e-18,2.0861764947232736e-36
gamma,50000,50,1.668020002985436e-05,0.0011198594560816273,3.336040005970872e-10,2.2397189121632544e-08,1.668020002985436e-05,4.645074988372695e-06,0.0003118566408452618,7.459612229009675e-08,2.1143665308505834e-34,7.696412409295694e-18,4.228733061701167e-39,1.5392824818591387e-22,2.1143665308505834e-34,5.88805354319971e-35,2.1432844161721245e-18,9.455734584664621e-37
gamma,50000,100,4.79186831127892e-06,0.0005572539268896393,9.58373662255784e-11,1.1145078537792787e-08,4.79186831127892e-06,6.672158487445836e-07,7.759158383396588e-05,2.1429886566493574e-08,2.5445722498160704e-34,9.06833473330454e-18,5.089144499632141e-39,1.813666946660908e-22,2.5445722498160704e-34,3.543041717896912e-35,1.2626675573575862e-18,1.1379673048496621e-36
gamma,100000,10,7.850812346708012e-09,6.79293959097297e-05,7.850812346708013e-14,6.792939590972971e-10,7.850812346708012e-09,1.1609055094607215e-08,0.00010044770717136179,2.4826448498168834e-11,3.1359623855353456e-34,6.663099976281228e-18,3.135962385535346e-39,6.663099976281228e-23,3.1359623855353456e-34,4.637171097785977e-34,9.852775905153309e-18,9.91678379490676e-37
gamma,100000,15,1.1603119071598275e-09,2.2979472290842467e-05,1.1603119071598276e-14,2.2979472290842468e-10,1.1603119071598275e-09,1.143841279286678e-09,2.2653278674722243e-05,3.669228422838889e-12,5.188622921157991e-34,1.213911151141713e-17,5.188622921157991e-39,1.213911151141713e-22,5.188622921157991e-34,5.1149704172225e-34,1.196679681984026e-17,1.640786635061551e-36
gamma,100000,20,2.4386989241439024e-06,0.0006464268620162493,2.4386989241439024e-11,6.464268620162492e-09,2.4386989241439024e-06,1.8030611941334462e-06,0.0004779381243857794,7.711843127696923e-09,1.3147528685244055e-33,1.9106098674741626e-17,1.3147528685244055e-38,1.9106098674741625e-22,1.3147528685244055e-33,9.720674633684735e-34,1.412616569870529e-17,4.157613624777022e-36
gamma,100000,25,1.73547452607095e-05,0.0015506482601173883,1.7354745260709498e-10,1.5506482601173883e-08,1.73547452607095e-05,1.0265036787890158e-05,0.0009171820845575533,5.48805232358547e-08,3.947030730766776e-34,1.1410143663237448e-17,3.947030730766776e-39,1.1410143663237449e-22,3.947030730766776e-34,2.3346015770096956e-34,6.748906002291608e-18,1.2481607103901849e-36
gamma,100000,30,1.887975848347261e-05,0.00149457224806124,1.887975848347261e-10,1.4945722480612398e-08,1.887975848347261e-05,9.30588015304412e-06,0.0007366783972739375,5.970303848165987e-08,6.2084085332922335e-34,1.2273394467988511e-17,6.208408533292234e-39,1.2273394467988512e-22,6.2084085332922335e-34,3.060140086141996e-34,6.0495868149012434e-18,1.963271161002876e-36
gamma,100000,50,1.5665467477893066e-05,0.0010832459267283837,1.5665467477893064e-10,1.0832459267283837e-08,1.5665467477893066e-05,4.632928848691584e-06,0.00032036077514123175,4.953855784143552e-08,4.98440073240799e-34,9.327662340435916e-18,4.98440073240799e-39,9.327662340435916e-23,4.98440073240799e-34,1.4740941487510757e-34,2.7585768512074914e-18,1.576205908542069e-36
gamma,100000,100,4.829346156456423e-06,0.0005391821162844222,4.8293461564564226e-11,5.391821162844222e-09,4.829346156456423e-06,7.141190379456837e-07,7.972926389709785e-05,1.527173346378217e-08,4.261102254173155e-34,8.31010472024038e-18,4.2611022541731554e-39,8.31010472024038e-23,4.261102254173155e-34,6.300923859579158e-35,1.2288214171833912e-18,1.3474788466064891e-36
weibull,50,10,4.829580654890864e-05,0.004000000000000008,9.659161309781727e-07,8.000000000000016e-05,4.829580654890864e-05,1.3991294193990919e-05,0.0011587999202226484,6.830058462721394e-06,1.5624106673841452e-33,3.122502256758253e-17,3.1248213347682903e-35,6.245004513516505e-19,1.5624106673841452e-33,4.526303391799397e-34,9.045888415066239e-18,2.2095823558110567e-34
weibull,50,15,7.421485014823805e-05,0.006406224082981502,1.484297002964761e-06,0.00012812448165963004,7.421485014823805e-05,1.4333360405185645e-05,0.001237255326047893,1.0495564760912515e-05,6.652483016237577e-34,1.8735013540549518e-17,1.3304966032475154e-35,3.747002708109904e-19,6.652483016237577e-34,1.2848161314164352e-34,3.618355366026495e-18,9.408031705019856e-35
weibull,50,20,8.43246457331253e-05,0.007065012435634703,1.686492914662506e-06,0.00014130024871269404,8.43246457331253e-05,1.221442409354356e-05,0.001023366980848187,1.1925305763809234e-05,1.0056965428347097e-33,2.0990154059319365e-17,2.0113930856694195e-35,4.198030811863873e-19,1.0056965428347097e-33,1.4567513420063156e-34,3.040423606175041e-18,1.4222696905085807e-34
weibull,50,25,0.00013169248826496794,0.008848089172786636,2.633849765299359e-06,0.00017696178345573272,0.00013169248826496794,1.5260524489536657e-05,0.001025316502754801,1.862413029669773e-05,7.43408958533473e-34,1.4155343563970746e-17,1.486817917066946e-35,2.8310687127941494e-19,7.43408958533473e-34,8.614622418413888e-35,1.6403210992653446e-18,1.0513390315476953e-34
weibull,50,30,6.924802858556733e-05,0.0059999589826399006,1.3849605717113466e-06,0.00011999917965279801,6.924802858556733e-05,6.6870508333775765e-06,0.0005793959992018554,9.79315011933091e-06,9.922551567645072e-34,1.815677238189058e-17,1.9845103135290143e-35,3.6313544763781164e-19,9.922551567645072e-34,9.581876637493499e-35,1.7533388656362956e-18,1.4032607000310076e-34
weibull,50,50,6.249299734207676e-05,0.0058520236891237655,1.2498599468415351e-06,0.0001170404737824753,6.249299734207676e-05,3.620844016723629e-06,0.0003390662292048827,8.837844439451073e-06,1.158206120305874e-33,1.769417945496343e-17,2.3164122406117478e-35,3.5388358909926862e-19,1.158206120305874e-33,6.710645799059136e-35,1.0252006870408403e-18,1.6379508033600915e-34
weibull,50,100,4.392378953319274e-05,0.004882586057193104,8.784757906638548e-07,9.765172114386208e-05,4.392378953319274e-05,1.272472095173501e-06,0.0001414485083388893,6.211761886866257e-06,1.403521446972198e-33,2.095545958979983e-17,2.807042893944396e-35,4.191091917959966e-19,1.403521446972198e-33,4.0660013519553894e-35,6.070796225222231e-19,1.984879065389593e-34
weibull,100,10,0.0002876390063277926,0.009999999999999995,2.8763900632779257e-06,9.999999999999995e-05,0.0002876390063277926,7.97932296838376e-05,0.0027740754184397863,2.8763900632779257e-05,4.5861206800721055e-34,1.9081958235744878e-17,4.5861206800721054e-36,1.9081958235744878e-19,4.5861206800721055e-34,1.272224464458639e-34,5.293479127747452e-18,4.5861206800721054e-35
weibull,100,15,0.0001274698836155414,0.00533333333333334,1.2746988361554139e-06,5.33333333333334e-05,0.0001274698836155414,2.357407138195027e-05,0.0009863379265563701,1.2746988361554139e-05,3.338278570271209e-34,5.551115123125783e-18,3.3382785702712087e-36,5.551115123125783e-20,3.338278570271209e-34,6.17375768112912e-35,1.0266141338661726e-18,3.338278570271209e-35
weibull,100,20,0.0001069238484232158,0.003999999999999992,1.069238484232158e-06,3.999999999999992e-05,0.0001069238484232158,1.483074097779124e-05,0.0005548150836879565,1.069238484232158e-05,8.245387574407853e-35,4.336808689942018e-18,8.245387574407852e-37,4.336808689942018e-20,8.245387574407853e-35,1.1436663492836844e-35,6.015317190622105e-19,8.245387574407853e-36
weibull,100,25,9.15672738716632e-05,0.005237002323107845,9.15672738716632e-07,5.237002323107845e-05,9.15672738716632e-05,1.0160580943236989e-05,0.0005811135764338214,9.15672738716632e-06,9.254093382780668e-34,2.248201624865942e-17,9.254093382780667e-36,2.2482016248659424e-19,9.254093382780668e-34,1.026862118924726e-34,2.4946723452947995e-18,9.254093382780668e-35
weibull,100,30,0.00010648534181364863,0.0076372114929354395,1.0648534181364862e-06,7.63721149293544e-05,0.00010648534181364863,9.846612304980038e-06,0.0007062066889326011,1.0648534181364863e-05,9.14816723583937e-35,3.0068540250264657e-18,9.14816723583937e-37,3.0068540250264655e-20,9.14816723583937e-35,8.459235284239418e-36,2.780413279220884e-19,9.14816723583937e-36
weibull,100,50,7.43350093775498e-05,0.005905436009256959,7.43350093775498e-07,5.905436009256959e-05,7.43350093775498e-05,4.12421844487504e-06,0.00032764249736897777,7.43350093775498e-06,1.0536040502013422e-33,1.9290125052862094e-17,1.0536040502013422e-35,1.9290125052862094e-19,1.0536040502013422e-33,5.845554192864287e-35,1.0702452345554847e-18,1.0536040502013422e-34
weibull,100,100,2.2752712134060456e-05,0.003948407128998807,2.2752712134060456e-07,3.9484071289988076e-05,2.2752712134060456e-05,6.311773943393379e-07,0.00010953179158548007,2.2752712134060457e-06,2.3007339671582204e-33,2.3089169465251303e-17,2.3007339671582204e-35,2.30891694652513e-19,2.3007339671582204e-33,6.382409542663072e-35,6.405109744574417e-19,2.3007339671582205e-34
weibull,500,10,2.054589955219171e-06,0.0008000000000000113,4.109179910438342e-09,1.6000000000000226e-06,2.054589955219171e-06,6.814835875620497e-07,0.0002653506937794263,9.18840561151663e-08,5.564131979956249e-34,1.752070710736575e-17,1.1128263959912498e-36,3.50414142147315e-20,5.564131979956249e-34,1.8455578514520784e-34,5.8114147330569524e-18,2.488355468592534e-35
weibull,500,15,1.1812258750444478e-06,0.0005333333333333471,2.3624517500888954e-09,1.0666666666666942e-06,1.1812258750444478e-06,2.6119925454437476e-07,0.0001179336416797464,5.282602706762115e-08,8.708312923019681e-34,1.8445892961220048e-17,1.7416625846039362e-36,3.68917859224401e-20,8.708312923019681e-34,1.9256307298096528e-34,4.078858745533922e-18,3.8944759330423796e-35
weibull,500,20,1.0592728073672714e-05,0.001807906094922477,2.1185456147345428e-08,3.6158121898449537e-06,1.0592728073672714e-05,1.756742339603638e-06,0.00029983071035982864,4.737212007980518e-07,6.862253901456317e-34,1.7390602846667492e-17,1.3724507802912634e-36,3.4781205693334985e-20,6.862253901456317e-34,1.1380648960262393e-34,2.8841303316285125e-18,3.0688932405038933e-35
weibull,500,25,1.6605777897819298e-06,0.000749098024088833,3.32115557956386e-09,1.4981960481776662e-06,1.6605777897819298e-06,2.203177342966676e-07,9.938684020038321e-05,7.426329639757501e-08,2.3601669615357956e-34,8.916478666520788e-18,4.720333923071592e-37,1.7832957333041576e-20,2.3601669615357956e-34,3.1313597033939753e-35,1.1829969001153558e-18,1.055498752848634e-35
weibull,500,30,6.0089221715528375e-06,0.001331327823244074,1.2017844343105674e-08,2.6626556464881482e-06,6.0089221715528375e-06,6.643631946200415e-07,0.0001471953173106931,2.6872716894195595e-07,6.5882853514246694e-34,1.769417945496343e-17,1.3176570702849339e-36,3.538835890992686e-20,6.5882853514246694e-34,7.284192036738928e-35,1.956317830930063e-18,2.9463707801903303e-35
weibull,500,50,4.783638854711904e-06,0.0011815323828824453,9.567277709423809e-09,2.3630647657648905e-06,4.783638854711904e-06,3.173354722220015e-07,7.83801093801778e-05,2.1393083317890113e-07,3.637675414099844e-34,1.2542050731312316e-17,7.275350828199688e-37,2.5084101462624632e-20,3.637675414099844e-34,2.4131492371893545e-35,8.320104657426093e-19,1.6268179012013896e-35
weibull,500,100,3.4210119019241432e-06,0.001363445291399001,6.842023803848287e-09,2.726890582798002e-06,3.4210119019241432e-06,1.1347098520040415e-07,4.5223894250376484e-05,1.5299230329076456e-07,8.512779625378101e-34,1.934650356583134e-17,1.7025559250756204e-36,3.869300713166268e-20,8.512779625378101e-34,2.823589974481765e-35,6.417010179249274e-19,3.8070307839641255e-35
weibull,1000,10,6.36390613371934e-07,0.00039999999999999704,6.36390613371934e-10,3.99999999999997e-07,6.36390613371934e-07,2.3495000927625953e-07,0.00014767660260189472,2.012443819806919e-08,1.3839047972456759e-33,1.8778381627448936e-17,1.3839047972456759e-36,1.8778381627448936e-20,1.3839047972456759e-33,5.1092589695426715e-34,6.932819002758795e-18,4.376291224129851e-35
weibull,1000,15,5.703886603793366e-07,0.0005433192152325087,5.703886603793366e-10,5.433192152325087e-07,5.703886603793366e-07,1.4038843254577835e-07,0.0001337258930564418,1.803727318330945e-08,1.3506586823528193e-34,5.724587470723463e-18,1.3506586823528192e-37,5.7245874707234634e-21,1.3506586823528193e-34,3.324344758076959e-35,1.4089793816230345e-18,4.27115777771678e-36
weibull,1000,20,5.536742851959614e-07,0.0005340468918781059,5.536742851959613e-10,5.340468918781059e-07,5.536742851959614e-07,1.022059217322159e-07,9.858278827832583e-05,1.7508718230848848e-08,3.84492447210462e-34,1.2630955309456127e-17,3.844924472104621e-37,1.2630955309456127e-20,3.84492447210462e-34,7.097567291266225e-35,2.331620709646073e-18,1.2158718763171139e-35
weibull,1000,25,7.545571309061267e-07,0.0006429259344016375,7.545571309061267e-10,6.429259344016375e-07,7.545571309061267e-07,1.1143043356125074e-07,9.494511771708314e-05,2.3861191583851918e-08,4.254048227942213e-34,1.419003803349028e-17,4.254048227942213e-37,1.4190038033490282e-20,4.254048227942213e-34,6.282233896071212e-35,2.0955366075775314e-18,1.3452481676500542e-35
weibull,1000,30,7.839878293515211e-06,0.001809638441436265,7.839878293515212e-09,1.809638441436265e-06,7.839878293515211e-06,9.648054926655624e-07,0.00022270104747424785,2.479187198602215e-07,1.74386937933188e-34,8.153200337090994e-18,1.74386937933188e-37,8.153200337090994e-21,1.74386937933188e-34,2.1460725443434064e-35,1.0033641050951914e-18,5.514599180512902e-36
weibull,1000,50,3.4657858421694066e-06,0.0011562744238211777,3.4657858421694064e-09,1.1562744238211776e-06,3.4657858421694066e-06,2.559077392586641e-07,8.537733929268805e-05,1.0959777143620167e-07,6.261265957677511e-34,1.7555401576885286e-17,6.261265957677511e-37,1.7555401576885286e-20,6.261265957677511e-34,4.6232124230836015e-35,1.2962610310931917e-18,1.9799861462336366e-35
weibull,1000,100,2.426726035948058e-06,0.0011117210036383038,2.426726035948058e-09,1.1117210036383038e-06,2.426726035948058e-06,8.95926641085938e-08,4.1043795214618634e-05,7.673981530827511e-08,6.306936264195659e-34,1.5970298000711482e-17,6.306936264195659e-37,1.5970298000711482e-20,6.306936264195659e-34,2.3284673008077691e-35,5.8960983782123015e-19,1.9944283652371747e-35
weibull,5000,10,1.2495637914950885e-07,0.00020000000000000044,2.499127582990177e-11,4.000000000000009e-08,1.2495637914950885e-07,4.881152691053591e-08,7.812570633490203e-05,1.7671500609827004e-09,1.638399324198701e-33,2.1358782797964437e-17,3.276798648397402e-37,4.271756559592887e-21,1.638399324198701e-33,6.4000552230824695e-34,8.343349962723615e-18,2.3170465448647165e-35
weibull,5000,15,9.284759289382109e-08,0.0001531677509537991,1.856951857876422e-11,3.063355019075982e-08,9.284759289382109e-08,2.4179279254417288e-08,3.988779576997964e-05,1.3130632510413757e-09,4.269144710058373e-34,1.2490009027033011e-17,8.538289420116746e-38,2.4980018054066024e-21,4.269144710058373e-34,1.1117664863974006e-34,3.252635924554181e-18,6.037482348697905e-36
weibull,5000,20,2.1895791526754833e-06,0.0006782437674197599,4.379158305350967e-10,1.3564875348395199e-07,2.1895791526754833e-06,4.276560446973701e-07,0.0001324706834922841,3.0965325336030584e-08,1.6675695103879437e-34,7.53791560420547e-18,3.3351390207758873e-38,1.507583120841094e-21,1.6675695103879437e-34,3.257001146540114e-35,1.4722624521785771e-18,2.3582994177904918e-36
weibull,5000,25,4.138711916805326e-06,0.0008591228199138336,8.277423833610652e-10,1.7182456398276672e-07,4.138711916805326e-06,6.466795836341833e-07,0.00013423915426840187,5.8530225235012406e-08,8.870346198988627e-34,2.028759105154876e-17,1.7740692397977255e-37,4.057518210309752e-21,8.870346198988627e-34,1.3860041244621969e-34,3.1699647614717624e-18,1.254456389755435e-35
