Distribution,Sample Size,Bin Count,HDEM_MSE,HDEM_MAE,HDEM_Normalized MSE,HDEM_Normalized MAE,HDEM_IMSE,HDEM_MISE,HDEM_MIAE,HDEM_AMISE,Hist_MSE,Hist_MAE,Hist_Normalized MSE,Hist_Normalized MAE,Hist_IMSE,Hist_MISE,Hist_MIAE,Hist_AMISE
beta,100,50,4.123011206543055e-05,0.00520453388919882,4.1230112065430547e-07,5.20453388919882e-05,4.123011206543055e-05,5.435801020052259e-07,6.861686569977571e-05,4.123011206543054e-06,2.7675011447736957e-33,3.570060913560269e-17,2.767501144773696e-35,3.5700609135602687e-19,2.7675011447736957e-33,3.6486889780660985e-35,4.706788263098299e-19,2.7675011447736956e-34
beta,100,100,2.1649239755036908e-05,0.0040157797859938695,2.164923975503691e-07,4.0157797859938696e-05,2.1649239755036908e-05,1.4271239350141779e-07,2.647213257918023e-05,2.1649239755036907e-06,5.180450623847854e-33,3.570060913560269e-17,5.180450623847854e-35,3.5700609135602687e-19,5.180450623847854e-33,3.4149675291633804e-35,2.3533941315491494e-19,5.180450623847854e-34
beta,500,10,7.326326742976045e-06,0.001599999999999991,1.465265348595209e-08,3.199999999999982e-06,7.326326742976045e-06,5.732904163211767e-07,0.00012520116810150258,3.276432924533813e-07,1.3120397746138044e-33,3.053113317719181e-17,2.624079549227609e-36,6.106226635438361e-20,1.3120397746138044e-33,1.0266807023580088e-34,2.3890834607793598e-18,5.867620250439939e-35
beta,500,15,9.400897939682868e-06,0.0021180403219835365,1.8801795879365736e-08,4.236080643967073e-06,9.400897939682868e-06,4.904180846880461e-07,0.00011049213433267619,4.204209368533722e-07,1.611210923527082e-33,3.1282846683448424e-17,3.222421847054164e-36,6.256569336689685e-20,1.611210923527082e-33,8.405228736812188e-35,1.6319370609616585e-18,7.20555430219354e-35
beta,500,20,9.518463775507943e-06,0.0018779253509257528,1.9036927551015887e-08,3.7558507018515054e-06,9.518463775507943e-06,3.7241336975794983e-07,7.347451485729053e-05,4.256786408681011e-07,1.2854077746015746e-33,2.6628005356243988e-17,2.5708155492031492e-36,5.3256010712487975e-20,1.2854077746015746e-33,5.029204839589718e-35,1.0418304296296355e-18,5.748518325631697e-35
beta,500,25,2.1686993725589065e-05,0.003423225152354565,4.337398745117813e-08,6.84645030470913e-06,2.1686993725589065e-05,6.788092367634308e-07,0.00010714794693730951,9.698718439605714e-07,3.6102910977030882e-34,1.1709383462843448e-17,7.220582195406176e-37,2.3418766925686896e-20,3.6102910977030882e-34,1.1300316565472128e-35,3.665071218241063e-19,1.614571262605288e-35
beta,500,30,1.528151477948069e-05,0.002762218124440491,3.056302955896138e-08,5.524436248880982e-06,1.528151477948069e-05,3.985965626565352e-07,7.204852827731104e-05,6.834101169217307e-07,1.150605217100877e-33,2.3678975447083417e-17,2.301210434201754e-36,4.7357950894166836e-20,1.150605217100877e-33,3.001189941764866e-35,6.176323719628457e-19,5.145662961406929e-35
beta,500,50,8.085432738318338e-06,0.002133762646426959,1.6170865476636676e-08,4.267525292853918e-06,8.085432738318338e-06,1.2653820293044903e-07,3.339369697300127e-05,3.6159154460764146e-07,1.637751391712528e-33,3.081736255072798e-17,3.275502783425056e-36,6.163472510145595e-20,1.637751391712528e-33,2.5631048412783896e-35,4.822962236448332e-19,7.324246884228196e-35
beta,500,100,5.893049299426596e-06,0.0018989474993764608,1.1786098598853192e-08,3.7978949987529216e-06,5.893049299426596e-06,4.611354099799721e-08,1.4859402817835097e-05,2.635451765655076e-07,1.2484013316467278e-33,2.1892210266827304e-17,2.4968026632934556e-36,4.378442053365461e-20,1.2484013316467278e-33,9.768831561352657e-36,1.7130814360815634e-19,5.583020481526686e-35
beta,1000,10,5.018080606003128e-06,0.0014957427828956073,5.0180806060031275e-09,1.4957427828956072e-06,5.018080606003128e-06,4.333637932685042e-07,0.0001291730478331071,1.5868564197287895e-07,7.5449810204139015e-34,1.6046192152785466e-17,7.544981020413901e-37,1.6046192152785465e-20,7.5449810204139015e-34,6.515880974956583e-35,1.3857566756754646e-18,2.3859324927249303e-35
beta,1000,15,1.537903584123715e-05,0.0019881379392794976,1.537903584123715e-08,1.9881379392794977e-06,1.537903584123715e-05,8.854271625951716e-07,0.00011446434955979968,4.863278147567306e-07,4.375472092404752e-34,9.598803233738332e-18,4.3754720924047515e-37,9.598803233738332e-21,4.375472092404752e-34,2.519118805487253e-35,5.526380976867918e-19,1.383645765050174e-35
