Distribution,Sample Size,Bin Count,CI_HDEM_MSE_Mean,CI_HDEM_MSE_Lower,CI_HDEM_MSE_Upper,CI_HDEM_MAE_Mean,CI_HDEM_MAE_Lower,CI_HDEM_MAE_Upper,CI_HDEM_Normalized MSE_Mean,CI_HDEM_Normalized MSE_Lower,CI_HDEM_Normalized MSE_Upper,CI_HDEM_Normalized MAE_Mean,CI_HDEM_Normalized MAE_Lower,CI_HDEM_Normalized MAE_Upper,CI_HDEM_IMSE_Mean,CI_HDEM_IMSE_Lower,CI_HDEM_IMSE_Upper,CI_HDEM_MISE_Mean,CI_HDEM_MISE_Lower,CI_HDEM_MISE_Upper,CI_HDEM_MIAE_Mean,CI_HDEM_MIAE_Lower,CI_HDEM_MIAE_Upper,CI_HDEM_AMISE_Mean,CI_HDEM_AMISE_Lower,CI_HDEM_AMISE_Upper
binom,50000,15,0.0009530906310524515,0.0009509150183511643,0.0009552662437537386,0.023233035643130444,0.023193258238957855,0.023272813047303033,1.906181262104903e-08,1.9018300367023285e-08,1.9105324875074772e-08,4.6466071286260895e-07,4.6386516477915714e-07,4.6545626094606076e-07,0.0009530906310524515,0.0009509150183511643,0.0009552662437537386,0.0006353937540349675,0.0006339433455674428,0.0006368441625024923,0.015488690428753633,0.015462172159305239,0.015515208698202027,4.262350879502908e-06,4.252621243717328e-06,4.272080515288488e-06
binom,50000,20,0.0015264023604749078,0.0015235288015302884,0.0015292759194195271,0.029857429826141008,0.029846469473731742,0.029868390178550273,3.052804720949816e-08,3.0470576030605774e-08,3.0585518388390545e-08,5.971485965228201e-07,5.969293894746349e-07,5.973678035710054e-07,0.0015264023604749078,0.0015235288015302884,0.0015292759194195271,0.0007632011802374539,0.0007617644007651442,0.0007646379597097636,0.014928714913070504,0.014923234736865871,0.014934195089275137,6.826278878076065e-06,6.813427931801023e-06,6.839129824351108e-06
binom,50000,25,0.0012327844666656785,0.0012306407523370389,0.0012349281809943182,0.026049706153867397,0.02603996984811379,0.026059442459621003,2.465568933331357e-08,2.4612815046740778e-08,2.469856361988636e-08,5.20994123077348e-07,5.207993969622759e-07,5.211888491924201e-07,0.0012327844666656785,0.0012306407523370389,0.0012349281809943182,0.0004931137866662714,0.0004922563009348155,0.0004939712723977273,0.010419882461546959,0.010415987939245516,0.010423776983848401,5.513179738140561e-06,5.503592756214204e-06,5.5227667200669176e-06
binom,50000,30,0.0010633988576673537,0.0010610587973988895,0.001065738917935818,0.02346180182564435,0.023454134821677863,0.023469468829610835,2.126797715334707e-08,2.1221175947977786e-08,2.1314778358716357e-08,4.69236036512887e-07,4.6908269643355726e-07,4.693893765922167e-07,0.0010633988576673537,0.0010610587973988895,0.001065738917935818,0.00035446628588911783,0.0003536862657996298,0.0003552463059786059,0.007820600608548115,0.007818044940559286,0.007823156276536944,4.7556642658796525e-06,4.745199198216188e-06,4.766129333543117e-06
binom,50000,50,0.0008542657750151507,0.0008513262612107524,0.000857205288819549,0.017622922423953517,0.017618370463172748,0.017627474384734287,1.7085315500303013e-08,1.7026525224215046e-08,1.714410577639098e-08,3.524584484790704e-07,3.52367409263455e-07,3.525494876946858e-07,0.0008542657750151507,0.0008513262612107524,0.000857205288819549,0.00017085315500303013,0.0001702652522421505,0.00017144105776390977,0.003524584484790704,0.0035236740926345503,0.0035254948769468577,3.820392687570836e-06,3.807246782195969e-06,3.833538592945703e-06
binom,50000,100,0.0005511259673567651,0.0005500867023050875,0.0005521652324084426,0.010481493666448908,0.010480530470320758,0.010482456862577058,1.1022519347135302e-08,1.100173404610175e-08,1.1043304648168854e-08,2.0962987332897814e-07,2.0961060940641514e-07,2.0964913725154115e-07,0.0005511259673567651,0.0005500867023050875,0.0005521652324084426,5.511259673567652e-05,5.500867023050876e-05,5.521652324084428e-05,0.0010481493666448908,0.001048053047032076,0.0010482456862577058,2.464710254350114e-06,2.460062519745732e-06,2.4693579889544957e-06
binom,100000,10,2.798578839442707e-05,2.7052616329402087e-05,2.8918960459452056e-05,0.003569978438721541,0.003496402297916055,0.003643554579527027,2.7985788394427077e-10,2.705261632940209e-10,2.891896045945206e-10,3.569978438721541e-08,3.4964022979160546e-08,3.643554579527027e-08,2.798578839442707e-05,2.7052616329402087e-05,2.8918960459452056e-05,2.798578839442707e-05,2.7052616329402087e-05,2.8918960459452056e-05,0.003569978438721541,0.003496402297916055,0.003643554579527027,8.849883344189622e-08,8.554788426757453e-08,9.144978261621792e-08
binom,100000,15,0.0009516501699494506,0.0009500733450945899,0.0009532269948043114,0.02318726733480033,0.02315467678095218,0.02321985788864848,9.516501699494505e-09,9.500733450945898e-09,9.532269948043112e-09,2.3187267334800333e-07,2.3154676780952183e-07,2.3219857888648483e-07,0.0009516501699494506,0.0009500733450945899,0.0009532269948043114,0.000634433446632967,0.0006333822300630599,0.0006354846632028742,0.01545817822320022,0.015436451187301452,0.015479905259098987,3.009382072726589e-06,3.0043957147140648e-06,3.014368430739113e-06
binom,100000,20,0.001527086960264825,0.0015239274467524527,0.0015302464737771975,0.02986038832377849,0.029854977602158217,0.029865799045398767,1.5270869602648248e-08,1.5239274467524523e-08,1.5302464737771973e-08,2.986038832377849e-07,2.9854977602158215e-07,2.9865799045398765e-07,0.001527086960264825,0.0015239274467524527,0.0015302464737771975,0.0007635434801324126,0.0007619637233762264,0.0007651232368885987,0.014930194161889246,0.014927488801079108,0.014932899522699383,4.8290729795798936e-06,4.819081720582718e-06,4.839064238577069e-06
binom,100000,25,0.0012336101269713674,0.0012300691307325312,0.0012371511232102037,0.026043961491545205,0.02604092271235929,0.02604700027073112,1.2336101269713673e-08,1.230069130732531e-08,1.2371511232102037e-08,2.604396149154521e-07,2.6040922712359295e-07,2.604700027073112e-07,0.0012336101269713674,0.0012300691307325312,0.0012371511232102037,0.0004934440507885469,0.0004920276522930124,0.0004948604492840814,0.010417584596618082,0.010416369084943717,0.010418800108292447,3.901017745879033e-06,3.8898201325782205e-06,3.912215359179845e-06
